farmer_id,crop_site_id,village_id,block_id,district_id,state_id,latitude,longitude,CCE_yield,la_median_damdue,la_median_damnotdue,la_median_damtot,med_damnotdue,med_damdue,med_damtot,ins_cat_loss1,ins_cat_loss2,ins_cat_loss3,ins_cat_loss4,numpics,WBI_payout,PBI_payout,jc_damnotdue_orig,jc_damdue_orig,jc_damtot_orig,damnotdue_orig1,damdue_orig1,damtot_orig1,damnotdue_orig2,damdue_orig2,damtot_orig2,damnotdue_orig3,damdue_orig3,damtot_orig3,damnotdue_orig4,damdue_orig4,damtot_orig4,damnotdue_orig5,damdue_orig5,damtot_orig5,damnotdue_orig6,damdue_orig6,damtot_orig6,damnotdue_orig7,damdue_orig7,damtot_orig7
128940.0,1,1289.0,34.0,Fategharh,Punjab,30.5,76.5,16.915874,0.0,10.0,10.0,10.0,0.0,10.0,1.0,0.0,0.0,0.0,53,0.0,0.0,,,,,,,,,,,,,,,,5.0,0.0,5.0,10.0,10.0,20.0,10.0,0.0,10.0
128941.0,1,1289.0,34.0,Fategharh,Punjab,30.5,76.5,20.598516,0.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,47,0.0,0.0,,,,,,,5.0,0.0,5.0,0.0,5.0,5.0,,,,,,,,,,0.0,0.0,0.0
139501.0,1,1395.0,1.0,Fategharh,Punjab,30.6,76.2,16.106503,2.0,6.0,10.0,6.0,2.0,10.0,1.0,0.0,0.0,0.0,14,0.0,0.0,,,,,,,7.0,4.0,11.0,,,,,,,5.0,0.0,5.0,5.0,5.0,10.0,10.0,0.0,10.0
139503.0,1,1395.0,1.0,Fategharh,Punjab,30.6,76.2,20.537815,0.0,6.0,9.0,6.0,0.0,9.0,1.0,0.0,0.0,0.0,2,0.0,0.0,,,,,,,6.0,3.0,9.0,,,,6.0,0.0,6.0,10.0,0.0,10.0,,,,,,
139505.0,2,1395.0,1.0,Fategharh,Punjab,30.6,76.2,20.011723,5.0,0.0,5.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,7,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5.0,5.0,0.0,15.0,15.0
139506.0,1,1395.0,1.0,Fategharh,Punjab,30.6,76.2,22.460073,0.0,2.0,4.5,2.0,0.0,4.5,1.0,0.0,0.0,0.0,60,0.0,0.0,,,,,,,,,,5.0,0.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,,,
139507.0,1,1395.0,1.0,Fategharh,Punjab,30.6,76.2,21.812576,3.0,5.0,7.0,5.0,3.0,7.0,1.0,0.0,0.0,0.0,44,0.0,0.0,,,,,,,5.0,3.0,8.0,5.0,0.0,5.0,3.0,4.0,7.0,,,,,,,,,
139510.0,1,1395.0,1.0,Fategharh,Punjab,30.6,76.2,20.90203,4.0,0.0,16.0,0.0,4.0,16.0,1.0,0.0,0.0,0.0,4,0.0,0.0,,,,,,,12.0,4.0,16.0,,,,,,,,,,0.0,30.0,30.0,0.0,0.0,0.0
139512.0,1,1395.0,1.0,Fategharh,Punjab,30.6,76.2,15.357834,10.0,0.0,15.0,0.0,10.0,15.0,1.0,0.0,0.0,0.0,40,0.0,0.0,,,,,,,,,,5.0,10.0,15.0,0.0,15.0,15.0,0.0,0.0,0.0,,,,,,
139514.0,1,1395.0,1.0,Fategharh,Punjab,30.6,76.2,,5.0,0.0,5.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,30,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5.0,5.0,0.0,10.0,10.0
139517.0,1,1395.0,1.0,Fategharh,Punjab,30.6,76.2,22.298199,5.0,5.0,10.0,5.0,5.0,10.0,1.0,0.0,0.0,0.0,16,0.0,0.0,,,,,,,6.0,3.0,9.0,5.0,5.0,10.0,3.0,10.0,13.0,,,,,,,,,
139518.0,1,1395.0,1.0,Fategharh,Punjab,30.6,76.2,21.529297,0.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5.0,5.0,10.0,0.0,10.0
139524.0,1,1395.0,1.0,Fategharh,Punjab,30.6,76.2,21.26625,5.0,5.0,10.0,5.0,5.0,10.0,1.0,0.0,0.0,0.0,18,0.0,0.0,,,,,,,,,,10.0,0.0,10.0,,,,,,,0.0,5.0,5.0,5.0,10.0,15.0
147301.0,1,1473.0,34.0,Fategharh,Punjab,30.5,76.5,21.185312,0.0,5.0,5.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,38,0.0,0.0,,,,,,,8.0,4.0,12.0,5.0,0.0,5.0,4.0,0.0,4.0,,,,,,,,,
147303.0,1,1473.0,34.0,Fategharh,Punjab,30.5,76.5,18.06923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37,0.0,0.0,,,,,,,,,,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
147305.0,1,1473.0,34.0,Fategharh,Punjab,30.5,76.5,22.217262,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,0.0,0.0,,,,,,,11.0,6.0,17.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
147307.0,1,1473.0,34.0,Fategharh,Punjab,30.5,76.5,23.633663,3.0,0.0,5.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,11,0.0,0.0,,,,,,,9.0,3.0,12.0,0.0,5.0,5.0,0.0,0.0,0.0,,,,,,,,,
147311.0,1,1473.0,34.0,Fategharh,Punjab,30.5,76.5,21.104374,0.0,3.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,56,0.0,0.0,,,,,,,8.0,5.0,13.0,,,,3.0,0.0,3.0,2.0,0.0,2.0,,,,,,
147315.0,1,1473.0,34.0,Fategharh,Punjab,30.5,76.5,20.740158,0.0,10.0,10.0,10.0,0.0,10.0,1.0,0.0,0.0,0.0,21,0.0,0.0,,,,,,,,,,10.0,0.0,10.0,,,,,,,10.0,0.0,10.0,15.0,0.0,15.0
