crop_site_id,farmer_id,village_id,block_id,district_id,state_id,latitude_final,longitude_final,latitude,longitude,timestamp
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-19 23:40:50.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-11-29 23:31:00.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,,,2017-04-15 04:55:23.392
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-03 23:45:16.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-21 00:51:00.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-15 23:52:50.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-19 23:59:15.999
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-29 23:03:56.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-10 23:11:17.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-06 23:48:00.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-06 01:06:48.999
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-01 23:02:19.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-29 00:13:08.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-04 23:51:59.999
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-29 23:37:38.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-08 22:45:02.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-03 23:47:49.999
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-04-02 23:42:16.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-18 00:24:10.999
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-15 01:01:33.999
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-07 04:18:54.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-14 03:38:17.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-28 00:01:00.000
